Dataset,Model,Loss,Seed,ECE,Accuracy,AdaECE,CECE,NLL,ECE_debiased,ECE_sweep,Brier,RBS
cifar10,convnext_tiny,FLSD-53,1,3.02189562380314%,78.60999703407288%,2.814781479537487%,0.009362070821225643,0.63518887758255,3.32742345289574%,3.130077661871912%,0.15411411225795746,0.5551830530166626
cifar10,convnext_tiny,FLSD-3,1,12.076880955398082%,76.7300009727478%,12.068776786327362%,0.023789308965206146,0.7251984477043152,12.807959316754072%,12.076879692971708%,0.1750323474407196,0.5916626453399658
cifar10,convnext_tiny,MSE,1,3.76929316624999%,40.9199982881546%,3.7678536027669907%,0.021945754066109657,1.6158592700958252,3.7910628970400317%,3.7692951485514636%,0.35881075263023376,0.8471254110336304
cifar10,convnext_base,NLL,1,3.9869222250580796%,80.53999543190002%,3.995155915617943%,0.010883777402341366,0.5788342952728271,4.680303509309376%,3.9882567209005364%,0.13849619030952454,0.5263006687164307
cifar10,vit_b_16,FLSD-53,1,8.664821824133396%,77.86999940872192%,8.611718565225601%,0.018684210255742073,0.6632725596427917,9.483093107684196%,8.613714220225813%,0.16140760481357574,0.5681682825088501
cifar10,convnext_base,Brier,1,3.3048043033480656%,50.90000033378601%,3.400823473930359%,0.018381429836153984,1.3832849264144897,3.2798505940936007%,3.2027360159158706%,0.313551127910614,0.7918978929519653
cifar10,convnext_base,MMCE,1,9.639367240965365%,79.14999723434448%,9.636831283569336%,0.02036507986485958,0.7492418885231018,11.022691165947524%,9.639369892477992%,0.1575438678264618,0.5613267421722412
cifar10,swin_b,FLSD-53,1,17.325618998110297%,72.97999858856201%,17.317673563957214%,0.03431593254208565,0.8757194876670837,18.13023110173277%,17.316065407991406%,0.21143347024917603,0.6502822041511536
cifar10,convnext_base,LS-0.05,1,5.986730620265007%,77.34000086784363%,6.2305014580488205%,0.014843183569610119,0.754271388053894,7.728748539758305%,5.951356265544892%,0.16631007194519043,0.5767322778701782
cifar10,convnext_base,FLSD-53,1,9.789810578376054%,79.26999926567078%,9.791820496320724%,0.020423419773578644,0.6577813029289246,10.821206316571459%,9.789807624518872%,0.15710748732089996,0.5605488419532776
cifar10,convnext_base,FLSD-3,1,5.11660831078887%,75.05999803543091%,5.118545889854431%,0.01243712566792965,0.7255867719650269,5.558885752135622%,5.116609185039997%,0.1763342022895813,0.5938588976860046
cifar10,vit_b_16,FLSD-3,1,8.12453356862068%,77.92999744415283%,8.054666221141815%,0.018192974850535393,0.6776884198188782,8.731439353821164%,8.052786799073218%,0.16443969309329987,0.5734800696372986
cifar10,convnext_base,MSE,1,1.386106345057487%,53.609997034072876%,1.6119323670864105%,0.013730588369071484,1.3044661283493042,1.0441280710491645%,1.0165574711561205%,0.2999891936779022,0.7745827436447144
cifar10,swin_b,FLSD-3,1,16.584951996654272%,73.28000068664551%,16.560199856758118%,0.03340383246541023,0.8563790917396545,17.902173509456475%,16.55839393377304%,0.20599086582660675,0.6418580412864685
cifar10,vit_b_16,MSE,1,3.2042662698030475%,74.18999671936035%,3.3118989318609238%,0.010548765771090984,0.761414647102356,3.741261447494262%,3.328870382606983%,0.17986227571964264,0.5997704267501831
cifar10,mlp_mixer_b16,FLSD-3,1,3.9593090611696238%,80.42999505996704%,3.8253817707300186%,0.009182916954159737,0.5755419731140137,4.213895685968481%,3.823440490663051%,0.14149276912212372,0.5319638252258301
cifar10,swin_b,MSE,1,1.6850738707184794%,59.24000144004822%,1.9892189651727676%,0.013219120912253857,1.1700332164764404,1.0806907733233062%,1.9402640706300747%,0.2695409655570984,0.7342219948768616
cifar10,mlp_mixer_b16,MSE,1,6.914045328348878%,80.32999634742737%,6.8958476185798645%,0.01487548928707838,0.626815140247345,8.357153457788916%,6.8881533324718465%,0.1430247724056244,0.5348359942436218
cifar10,eva02_small,NLL,1,7.702365133762361%,87.02999949455261%,7.6871223747730255%,0.016278067603707314,0.5365495681762695,9.621733005575178%,7.689772459864617%,0.10394469648599625,0.4559488892555237
cifar10,eva02_small,Brier,1,3.4832158273458482%,74.39999580383301%,3.495340421795845%,0.010206714272499084,0.7568323612213135,4.041223665876744%,3.497350970804692%,0.17826342582702637,0.597098708152771
